Regiao_Administrativa,Endereço,Nome_do_ginasio,Horario_de_funcionamento,Latitude,Longitude
Taguatinga,QNJ 01| Área Especial,Ginásio da Praça do DI,Todos os dias: 08:00 - 22:00,-15.81436,-48.09312
Asa Norte,SGAN 909| Módulo A,Ginásio do Colégio Galois,Seg a Sex: 08:00 - 20:00,-15.76015,-47.89242
Plano Piloto,Setor de Clubes Esportivos Sul| Trecho 3,Ginásio da AABB,Ter a Dom: 07:00 - 22:00,-15.82056,-47.87833
Guará I,QE 04| Área Especial,Ginásio do Cave,Todos os dias: 08:00 - 22:00,-15.81156,-47.98971
Cruzeiro Novo,SHCES 1101| Área Especial,Ginásio do Cruzeiro,Todos os dias: 08:00 - 22:00,-15.79743,-47.94056
Sobradinho,Quadra 02| Área Especial 05,Ginásio de Sobradinho,Todos os dias: 08:00 - 22:00,-15.65481,-47.79135
Gama,Setor Central| Praça 01,Ginásio do Gama (Bezerrão),Todos os dias: 08:00 - 22:00,-16.01452,-48.06544
Ceilândia Sul,QNM 13| Módulo B,Ginásio do Sesc Ceilândia,Ter a Dom: 09:00 - 21:00,-15.82173,-48.10951
Águas Claras,Avenida Pau Brasil| Lote 2,Ginásio do Colégio La Salle,Seg a Sex: 08:00 - 20:00,-15.83351,-48.01987
Sudoeste,EQSW 303/304| Lote 02,Ginásio do Centro Olímpico do Sudoeste,Todos os dias: 07:00 - 22:00,-15.80184,-47.91752
Taguatinga,Setor D Sul| Área Especial 23| Taguaparque,Ginásio do Taguaparque,Ter a Dom: 08:00 - 20:00,-15.83245,-48.03872
Asa Sul,SGAS 613| Conjunto C,Ginásio do Colégio Marista (Maristão),Seg a Sex: 08:00 - 20:00,-15.82031,-47.89945
Samambaia Norte,QN 431| Área Especial,Ginásio de Samambaia,Todos os dias: 08:00 - 22:00,-15.85024,-48.11743
Brazlândia,Setor Norte| Área Especial 02,Ginásio de Brazlândia,Todos os dias: 08:00 - 22:00,-15.67243,-48.20451
Paranoá,Quadra 33| Conjunto K| Área Especial,Ginásio do Paranoá,Todos os dias: 08:00 - 22:00,-15.76031,-47.78012
Asa Norte,Campus Universitário Darcy Ribeiro,Ginásio da UnB,Seg a Sex: 08:00 - 22:00,-15.76451,-47.87243
Taguatinga,Avenida Samdu Norte| QNE 33,Ginásio do Sesi Taguatinga,Ter a Dom: 09:00 - 21:00,-15.79631,-48.05842
Guará II,QE 25| Conjunto P,Ginásio do Colégio Projeção,Seg a Sex: 08:00 - 20:00,-15.82341,-47.98912
Riacho Fundo I,QN 07| Área Especial 01,Ginásio do Riacho Fundo,Todos os dias: 08:00 - 22:00,-15.88012,-48.00841
Planaltina,Setor Educacional| Lote J,Ginásio da FUP,Seg a Sex: 08:00 - 22:00,-15.61743,-47.66124
Santa Maria,QR 218| Área Especial,Ginásio de Santa Maria,Todos os dias: 08:00 - 22:00,-16.03541,-48.00124
Recanto das Emas,Quadra 203| Avenida Monjolo,Ginásio do Recanto,Todos os dias: 08:00 - 22:00,-15.90412,-48.06541
Lago Sul,SHIS QI 09| Conjunto 1,Ginásio do Colégio Everest,Seg a Sex: 08:00 - 20:00,-15.83512,-47.85431
Asa Sul,SEP Sul 712/912,Ginásio do CIEF,Seg a Sex: 08:00 - 22:00,-15.81841,-47.90124
Cruzeiro Velho,SRES Quadra 10| Bloco G,Ginásio do Educandário de Fátima,Seg a Sex: 08:00 - 20:00,-15.79431,-47.94821
Núcleo Bandeirante,3ª Avenida| Praça Padre Roque,Ginásio do Núcleo Bandeirante,Todos os dias: 08:00 - 22:00,-15.87124,-47.97412
Ceilândia Norte,QNN 27| Módulo G,Ginásio da Fundação Bradesco,Seg a Sex: 08:00 - 20:00,-15.80412,-48.13541
São Sebastião,Rua da Gameleira| Quadra 10,Ginásio de São Sebastião,Todos os dias: 08:00 - 22:00,-15.90124,-47.76512
Asa Norte,SGAN 607| Avenida L2 Norte,Ginásio do IESB,Seg a Sex: 07:00 - 23:00,-15.76941,-47.88912
Plano Piloto,SRPN| Estacionamento,Ginásio Nilson Nelson,Conforme evento,-15.78214,-47.89341
Vicente Pires,Rua 04| Chácara 150,Ginásio do Colégio Objetivo,Seg a Sex: 08:00 - 20:00,-15.79312,-48.03124
Noroeste,CRNW 508| Lote 3,Ginásio da Academia Bodytech,Seg a Sáb: 06:00 - 23:00,-15.76213,-47.90712
Jardim Botânico,DF-140| Km 5,Ginásio Poliesportivo Aldeias SOS,Todos os dias: 08:00 - 22:00,-15.89124,-47.78124
Park Way,SMPW Quadra 17| Conjunto 02,Ginásio do Colégio Alvorada,Seg a Sex: 08:00 - 20:00,-15.89412,-47.96124
