Regiao_Administrativa,Endereço,Tipo_quadra,Latitude,Longitude
Taguatinga, QNM 34| Área Especial 12, Quadra Poliesportiva,-15.804541,-48.097847
Asa Sul, SQS 208| Bloco C| ao lado do bloco, Quadra de Basquete,-15.81155,-47.88252
Asa Norte, SQN 415| entre os blocos A e B, Quadra de Vôlei,-15.75384,-47.88392
Guará I, QE 15| Conjunto T| Praça Central, Quadra Poliesportiva,-15.81745,-47.98425
Águas Claras, Parque de Águas Claras| Avenida Castanheiras, Quadra de Futebol de Areia,-15.83281,-48.02896
Sudoeste, SQSW 302| Bloco K| atrás do prédio, Quadra de Tênis,-15.79841,-47.91523
Cruzeiro Novo, SHCES 803| Área Especial, Quadra Poliesportiva,-15.79257,-47.93581
Lago Sul, SHIS QI 13| Pontão do Lago Sul, Quadra de Vôlei de Praia,-15.81533,-47.87321
Samambaia Sul, QN 321| Conjunto F, Quadra Poliesportiva,-15.87532,-48.09451
Taguatinga, QNJ 48| Praça do DI, Quadra Poliesportiva,-15.81436,-48.09312
Asa Norte, Parque Olhos D'Água| SQN 413/414, Quadra Poliesportiva,-15.75833,-47.88278
Guará II, QE 38| Conjunto A| Campo Sintético, Quadra de Futebol Society,-15.83015,-47.99613
Plano Piloto, Parque da Cidade| Estacionamento 9, Quadra de Basquete,-15.79969,-47.90712
Ceilândia Sul, QNM 17| Conjunto H, Quadra Poliesportiva,-15.82345,-48.11327
Gama, Setor Central| Quadra 13| Área Especial, Quadra de Futebol de Salão,-16.01524,-48.06431
Sobradinho, Quadra 14| Área Especial 3, Quadra Poliesportiva,-15.65187,-47.79154
Riacho Fundo I, QN 5| Conjunto 10, Quadra Poliesportiva,-15.87974,-48.00762
Asa Sul, SQS 109| entre os blocos D e E, Quadra de Futebol de Salão,-15.80345,-47.88691
Taguatinga Norte, QND 45| Praça do Bicalho, Quadra Poliesportiva,-15.79412,-48.07342
Águas Claras, Rua 25 Sul| Praça das Gaivotas, Quadra de Vôlei,-15.83842,-48.02111
Cruzeiro Velho, SRES Quadra 4| Bloco B, Quadra Poliesportiva,-15.79011,-47.94253
Samambaia Norte, QR 409| Conjunto 15, Quadra de Basquete,-15.85693,-48.10642
Lago Norte, SHIN QL 8| Península dos Ministros, Quadra de Tênis,-15.74831,-47.84351
Sudoeste, EQSW 102/103| Praça da Harmonia, Quadra Poliesportiva,-15.79582,-47.91032
Asa Norte, Eixão do Lazer| altura da SQN 210, Quadra de Vôlei de Praia,-15.77083,-47.88139
Guará I, QE 07| Praça da Moda, Quadra Poliesportiva,-15.81423,-47.97914
Taguatinga, Setor F Norte| QNF 24| Sesi Taguatinga, Quadra Poliesportiva,-15.79631,-48.05842
Asa Sul, SGAS 913| Sesc 913 Sul, Quadra de Basquete,-15.82141,-47.90483
Plano Piloto, Setor de Clubes Esportivos Sul| Trecho 2| AABB, Quadra de Futebol Society,-15.82056,-47.87833
Noroeste, SQNW 109| Parque Burle Marx, Quadra de Beach Tennis,-15.75831,-47.90112
Vicente Pires, Rua 03| Chácara 112, Campo Sintético Vicente Pires,-15.79724,-48.02741
Jardim Botânico, DF-001| Solar de Brasília, Quadra de Tênis de Saibro,-15.86832,-47.82151
Park Way, SMPW Quadra 05| Conjunto 12, Quadra Poliesportiva Privada,-15.87413,-47.93512
Itapoã, Quadra 378| Conjunto K| Praça dos Direitos, Quadra Poliesportiva,-15.75314,-47.77813
Estrutural, Setor Oeste| Quadra 01| Área Especial, Quadra da Vila Olímpica,-15.77812,-47.96251
Candangolândia, QR 5| Praça do Bosque, Quadra de Malha,-15.85731,-47.94312
Varjão, Quadra 08| Conjunto D, Quadra Poliesportiva,-15.72143,-47.86813
Plano Piloto, UNB| Campus Darcy Ribeiro| ICC Sul, Quadra de Futevôlei,-15.76342,-47.87113
Asa Sul, SQS 405| Praça interna, Quadra Poliesportiva,-15.81241,-47.89243
Ceilândia Norte, QNN 11| Praça do Cidadão, Pista de Skate,-15.81024,-48.12513
Gama, Setor Leste| Quadra 22| Praça da Harmonia, Quadra de Basquete,-16.02341,-48.05124
Sobradinho II, AR 13| Conjunto 04, Campo Sintético Comunitário,-15.68124,-47.81435
Riacho Fundo II, QN 25| Conjunto 01, Quadra Poliesportiva,-15.91432,-48.03124
Brazlândia, Setor Tradicional| Quadra 32, Quadra Poliesportiva Central,-15.67421,-48.20143
Santa Maria, QR 210| Avenida Alagados, Quadra Poliesportiva,-16.02841,-47.99842
Recanto das Emas, Quadra 401| Praça da Bíblia, Quadra de Vôlei de Areia,-15.90831,-48.07421
Lago Norte, CA do Lago Norte| Deck Norte, Quadra de Padel,-15.75134,-47.87421
Asa Norte, SQN 312| Bloco F| área verde, Quadra de Futebol Infantil,-15.76542,-47.88842
Guará II, QE 44| Praça da QE 44, Quadra de Basquete 3x3,-15.83921,-48.00513
Águas Claras, Rua 36 Norte| Praça Tiziu, Quadra de Tênis Rápida,-15.82841,-48.03421
Taguatinga, CSB 02| Alameda Shopping, Quadra de Beach Tennis (rooftop),-15.83412,-48.05312
Sudoeste, SQSW 105| Parque do Sudoeste, Pista de Skate,-15.80521,-47.92013
Cruzeiro, SHCES 609| Área verde, Quadra Poliesportiva,-15.79421,-47.93141
Samambaia, Centro Olímpico| QS 119| Área Especial, Pista de Atletismo,-15.86431,-48.12013
Ceilândia, Praça dos Eucaliptos| QNM 28, Quadra Poliesportiva,-15.83142,-48.13421
Asa Sul, SQS 214| Bloco H| área interna, Quadra Poliesportiva,-15.82241,-47.88513
Noroeste, CRNW 510| Bloco A| área de lazer, Quadra de Squash,-15.75831,-47.90921
Gama, Setor Sul| Quadra 05| Praça dos Esportes, Quadra de Tênis de Parede,-16.03124,-48.07213
Plano Piloto, Parque da Cidade| Estacionamento 4, Quadra de Futevôlei,-15.79321,-47.89842
Vicente Pires, Rua 10| Chácara 135, Quadra de Futebol Society,-15.78912,-48.04132
Jardim Botânico, Condomínio San Diego, Quadra Poliesportiva,-15.89421,-47.81531
Itapoã, Del Lago I| Quadra 02, Campo de Terra Batida,-15.76312,-47.78124
Candangolândia, QR 3| Praça Central, Quadra de Vôlei,-15.85421,-47.94531
Asa Norte, SQN 113| Praça da Leitura, Quadra Poliesportiva,-15.76213,-47.88931
Riacho Fundo I, QN 1| Conjunto 5, Quadra de Basquete,-15.87512,-48.00312
Sobradinho, Condomínio RK| Centro Comercial, Quadra de Tênis,-15.69421,-47.82813
Taguatinga, Pistão Sul| Taguatinga Shopping| Estacionamento E3, Quadra de Basquete,-15.83712,-48.04921
Guará I, QI 18| Conjunto B, Quadra de Tênis de Saibro,-15.81132,-47.99013
Águas Claras, Av. Araucárias| Praça Rouxinol, Quadra Poliesportiva,-15.83621,-48.02431
Samambaia Sul, QN 515| Conjunto 3, Quadra de Futebol de Areia,-15.88512,-48.11421
Cruzeiro Novo, SHCES 1205| Bloco C, Quadra Poliesportiva,-15.79812,-47.93921
Lago Sul, SHIS QI 26| Parque Vivencial, Pista de Skate (Bowl),-15.86213,-47.83812
Sudoeste, SQSW 300| Bloco G| área interna, Quadra de Peteca,-15.80121,-47.91312
Asa Sul, SQS 316| Eixinho L| área verde, Campo de Futebol Society,-15.81912,-47.89121
Noroeste, SQNW 307| Praça da Harmonia, Quadra de Vôlei de Praia,-15.76512,-47.90512
Gama, Setor Oeste| Quadra 15, Quadra Poliesportiva,-16.02121,-48.08121
Ceilândia, Expansão do Setor O| QNO 19, Campo Sintético,-15.80421,-48.15121
Plano Piloto, Setor de Embaixadas Sul| Q. 801, Quadra de Tênis,-15.80912,-47.86812
Taguatinga, M Norte| QNM 40| Praça da Caixa D'água,-15.79012,-48.08812
