Regiao_Administrativa,Endereço,Horario_de_funcionamento,Latitude,Longitude
Taguatinga, QNJ 01| Área Especial, Ginásio da Praça do DI,-15.81436,-48.09312
Asa Norte, SGAN 909| Módulo A, Ginásio do Colégio Galois,-15.76015,-47.89242
Plano Piloto, Setor de Clubes Esportivos Sul| Trecho 3, Ginásio da AABB,-15.82056,-47.87833
Guará I, QE 04| Área Especial, Ginásio do Cave,-15.81156,-47.98971
Cruzeiro Novo, SHCES 1101| Área Especial, Ginásio do Cruzeiro,-15.79743,-47.94056
Sobradinho, Quadra 02| Área Especial 05, Ginásio de Sobradinho,-15.65481,-47.79135
Gama, Setor Central| Praça 01, Ginásio do Gama (Bezerrão),-16.01452,-48.06544
Ceilândia Sul, QNM 13| Módulo B, Ginásio do Sesc Ceilândia,-15.82173,-48.10951
Águas Claras, Avenida Pau Brasil| Lote 2, Ginásio do Colégio La Salle,-15.83351,-48.01987
Sudoeste, EQSW 303/304| Lote 02, Ginásio do Centro Olímpico do Sudoeste,-15.80184,-47.91752
Taguatinga, Setor D Sul| Área Especial 23| Taguaparque, Ginásio do Taguaparque,-15.83245,-48.03872
Asa Sul, SGAS 613| Conjunto C, Ginásio do Colégio Marista (Maristão),-15.82031,-47.89945
Samambaia Norte, QN 431| Área Especial, Ginásio de Samambaia,-15.85024,-48.11743
Brazlândia, Setor Norte| Área Especial 02, Ginásio de Brazlândia,-15.67243,-48.20451
Paranoá, Quadra 33| Conjunto K| Área Especial, Ginásio do Paranoá,-15.76031,-47.78012
Asa Norte, Campus Universitário Darcy Ribeiro, Ginásio da UnB,-15.76451,-47.87243
Taguatinga, Avenida Samdu Norte| QNE 33, Ginásio do Sesi Taguatinga,-15.79631,-48.05842
Guará II, QE 25| Conjunto P, Ginásio do Colégio Projeção,-15.82341,-47.98912
Riacho Fundo I, QN 07| Área Especial 01, Ginásio do Riacho Fundo,-15.88012,-48.00841
Planaltina, Setor Educacional| Lote J, Ginásio da FUP,-15.61743,-47.66124
Santa Maria, QR 218| Área Especial, Ginásio de Santa Maria,-16.03541,-48.00124
Recanto das Emas, Quadra 203| Avenida Monjolo, Ginásio do Recanto,-15.90412,-48.06541
Lago Sul, SHIS QI 09| Conjunto 1, Ginásio do Colégio Everest,-15.83512,-47.85431
Asa Sul, SEP Sul 712/912, Ginásio do CIEF,-15.81841,-47.90124
Cruzeiro Velho, SRES Quadra 10| Bloco G, Ginásio do Educandário de Fátima,-15.79431,-47.94821
Núcleo Bandeirante, 3ª Avenida| Praça Padre Roque, Ginásio do Núcleo Bandeirante,-15.87124,-47.97412
Ceilândia Norte, QNN 27| Módulo G, Ginásio da Fundação Bradesco,-15.80412,-48.13541
São Sebastião, Rua da Gameleira| Quadra 10, Ginásio de São Sebastião,-15.90124,-47.76512
Asa Norte, SGAN 607| Avenida L2 Norte, Ginásio do IESB,-15.76941,-47.88912
Plano Piloto, SRPN| Estacionamento, Ginásio Nilson Nelson,-15.78214,-47.89341
Vicente Pires, Rua 04| Chácara 150, Ginásio do Colégio Objetivo,-15.79312,-48.03124
Noroeste, CRNW 508| Lote 3, Ginásio da Academia Bodytech,-15.76213,-47.90712
Jardim Botânico, DF-140| Km 5, Ginásio Poliesportivo Aldeias SOS,-15.89124,-47.78124
Park Way, SMPW Quadra 17| Conjunto 02, Ginásio do Colégio Alvorada,-15.89412,-47.96124
Itapoã, Del Lago II| Área Especial, Ginásio Comunitário do Itapoã,-15.76124,-47.77124
Estrutural, Setor Leste| Área Especial 05, Ginásio do Centro Olímpico,-15.77512,-47.95812
Candangolândia, QR 7| Praça dos Estados, Ginásio da Candangolândia,-15.86124,-47.94612
